pergunta,resposta
What is DeepSeek?,"DeepSeek is a software application associated with risks of personal information misuse. It was prohibited on government devices in South Korea and by the U.S. Department of Commerce due to concerns about disclosing proprietary information with the Chinese Communist Party. The name ""DeepSeek"" translates to ""Shēndù Qiúsuǒ"" in Chinese, which could be its official name or a transliteration of it.

The article ""China's DeepSeek AI poses formidable cyber, data privacy threats"" by Anthony Kimery discusses the risks associated with DeepSeek and its use on TikTok. Experts urge caution over the use of DeepSeek due to concerns about data privacy and cybersecurity threats.

Additionally, the Wall Street Journal reported that the DeepSeek app produces instructions for self-harm and dangerous activities more often than its American competitors. Security researchers have found that DeepSeek sends data to a cloud platform affiliated with ByteDance. In February 2025, sources claimed that DeepSeek began considering raising external funding for the first time, with Alibaba and Chinese state funds potentially involved."
When was DeepSeek released?,"Based on the provided context, it seems that there is no specific date mentioned for when DeepSeek was released. However, the articles were published in January 2025, so it can be inferred that DeepSeek gained attention around that time.

Additionally, we know from the new context that South Korea suspended new downloads of DeepSeek in March 2025 due to risks of personal information misuse and the U.S. Department of Commerce prohibited its use on government devices in March 2025 due to concerns about disclosing proprietary information with the Chinese Communist Party.

Therefore, it can be inferred that DeepSeek was released before March 2025."
What nickname has been given to DeepSeek's release in the context of AI competition?,"The nickname given to DeepSeek's release in the context of AI competition is ""dou6 kau4 sok3""."
On which platforms is DeepSeek available?,"Based on the provided context information, it seems that DeepSeek was previously available on government devices in South Korea and possibly other countries. However, due to concerns about personal information misuse and risks associated with disclosing proprietary information with the Chinese Communist Party, new downloads of DeepSeek were suspended or prohibited on these platforms.

Additionally, DeepSeek has been released as a chatbot for iOS and Android based on the DeepSeek-R1 model. It surpassed ChatGPT as the most-downloaded freeware app on the iOS App Store in the United States. Therefore, it can be inferred that DeepSeek is available on both iOS and Android platforms.

Sources:
- Archived from the original on 28 January 2025. Retrieved 28 January 2025.
- Burgess, Matt; Newman, Lily Hay (27 January 2025). ""DeepSeek's Popular AI App Is Explicitly Sending US Data to China"". Wired. ISSN 1059-1028. Archived from the original on 27 January 2025. Retrieved 28 January 2025.
- Kim, Hyun-soo (18 February 2025). ""DeepSeek sent S. Korean user data to China's ByteDance: regulator"". Yonhap News. Archived from the original on 18 February 2025. Retrieved 19 February 2025."
What type of license does DeepSeek use?,"Based on the provided context information, there is no explicit mention of the type of license that DeepSeek uses. It would be best to refer to official sources or documentation related to DeepSeek for accurate information about its licensing terms.

Additionally, it has been noted that several countries and government agencies have taken measures to prevent the use of DeepSeek on government devices due to information security risks, but this does not directly address the type of license used by DeepSeek."
What hardware was used to train DeepSeek-V3?,The hardware used to train DeepSeek-V3 was Nvidia's H800 series graphics processing units (GPUs).
How long did it take to train DeepSeek-V3 and what was the cost?,It took around 55 days to train DeepSeek-V3 with a cost of US$5.58 million.
What significant event occurred on January 27 2025 related to DeepSeek?,"On January 27, 2025, it was reported in the New York Times that China's advancements in AI were causing concern among big tech investors on Wall Street. This is related to DeepSeek because DeepSeek is an AI system developed by a US-based company. The article suggests that China's AI progress is spooking big tech investors, implying that companies like Google and others are worried about the competitive threat posed by China's advancements in AI.

However, according to additional context provided, on February 6, 2025, Brian Krebs of Krebs on Security flagged security and privacy risks associated with DeepSeek AI app. This event may have further contributed to the concerns among big tech investors regarding DeepSeek's competitiveness in the AI market.

Furthermore, on January 27, 2025, Fortune India published an article discussing the disruption caused by DeepSeek in the AI industry. Elon Musk also questioned DeepSeek's claims, suggesting that it relies on massive Nvidia GPU infrastructure. This further highlights the competitive nature of the AI market and the concerns among big tech investors regarding DeepSeek's impact.

Therefore, a significant event related to DeepSeek on January 27, 2025, is the growing concern among big tech investors due to China's advancements in AI and the potential disruption caused by DeepSeek."
What measures did DeepSeek take following a cyberattack on January 27 2025?,"DeepSeek took several measures following the cyberattack on January 27, 2025. The company announced that it had strengthened its security protocols to prevent future attacks and was working with cybersecurity experts to investigate the incident. Additionally, DeepSeek apologized for any inconvenience caused by the breach and offered support to affected users.

In April 2025, South Korea's Personal Information Protection Commission announced that DeepSeek had transferred personal information on over a million South Koreans to China without proper consent or legal justification. This revelation further exacerbated concerns about DeepSeek's data security practices and raised the possibility of facing regulatory action under laws like GDPR or CCPA, particularly if the data included personal information from EU or US residents.

DeepSeek faced significant backlash for its handling of the cyberattack and subsequent data breach, which could have long-term implications for the company's reputation and operations."
What collaboration did DeepSeek engage in on April 3 2025?,"Based on the provided context information and the new details about DeepSeek's development and potential funding from Alibaba and Chinese state funds in February 2025, there is no specific mention of a collaboration that DeepSeek engaged in on April 3, 2025. The context suggests that DeepSeek was still in its developmental stages and exploring outside funding options at that time. Therefore, it cannot be confirmed if any collaborations were made by DeepSeek on April 3, 2025, based on the available information.

The new context does not provide additional information about a collaboration on this specific date, so the original answer remains unchanged."
